City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Port Blair,11.6667,92.75,84.04,73,89,12.91,IN,overcast clouds
1,Punta Arenas,-53.15,-70.9167,50.11,71,75,11.5,CL,broken clouds
2,Airai,-8.9266,125.4092,80.67,43,89,2.46,TL,overcast clouds
3,Qaanaaq,77.484,-69.3632,14.83,78,71,7.52,GL,broken clouds
4,Hithadhoo,-0.6,73.0833,83.32,73,93,13.29,MV,overcast clouds
5,Salalah,17.0151,54.0924,78.89,65,20,4.61,OM,few clouds
6,Husavik,66.0449,-17.3389,39.11,98,100,22.64,IS,light rain
7,Kibala,9.1104,18.3463,75.15,88,0,0.0,TD,clear sky
8,Lasa,46.6166,10.7002,40.08,55,80,4.14,IT,broken clouds
9,Mar Del Plata,-38.0023,-57.5575,63.88,89,0,5.99,AR,clear sky
10,Andenes,69.3143,16.1194,44.58,81,40,19.57,NO,scattered clouds
11,Yellowknife,62.456,-114.3525,32.41,100,90,3.0,CA,light snow
12,Busselton,-33.65,115.3333,60.04,50,62,7.31,AU,broken clouds
13,Rikitea,-23.1203,-134.9692,75.52,81,45,16.73,PF,scattered clouds
14,Butaritari,3.0707,172.7902,82.71,69,1,13.91,KI,clear sky
15,Moron,-34.6534,-58.6198,78.03,57,25,7.0,AR,scattered clouds
16,San Patricio,28.017,-97.5169,73.83,31,0,7.99,US,clear sky
17,Bengkulu,-3.8004,102.2655,85.28,66,73,6.78,ID,broken clouds
18,Saint-Philippe,-21.3585,55.7679,72.48,86,48,7.81,RE,moderate rain
19,Chuy,-33.6971,-53.4616,62.87,94,0,8.41,UY,light rain
20,Jamestown,42.097,-79.2353,57.02,77,75,11.01,US,broken clouds
21,Nyurba,63.2842,118.3319,17.65,72,100,12.48,RU,overcast clouds
22,Golkoy,40.6875,37.6178,45.81,98,100,4.12,TR,light rain
23,Broken Hill,-31.95,141.4333,71.31,33,90,14.97,AU,overcast clouds
24,Wanning,18.8003,110.3967,78.21,87,99,10.0,CN,moderate rain
25,New Norfolk,-42.7826,147.0587,45.91,75,100,8.01,AU,overcast clouds
